iter	Passed	Remaining
351	2905	1221
352	2914	1213
353	2923	1205
354	2931	1197
355	2944	1190
356	2980	1193
357	2991	1186
358	3002	1179
359	3011	1171
360	3019	1162
361	3028	1154
362	3036	1145
363	3046	1138
364	3054	1129
365	3063	1121
366	3071	1113
367	3082	1105
368	3090	1097
369	3100	1089
370	3107	1080
371	3117	1072
372	3126	1064
373	3135	1056
374	3144	1048
375	3154	1040
376	3163	1032
377	3172	1023
378	3180	1015
379	3189	1007
380	3199	999
381	3208	990
382	3217	983
383	3227	974
384	3235	966
385	3245	958
386	3253	949
387	3259	941
388	3268	932
389	3277	924
390	3284	915
391	3292	907
392	3299	898
393	3306	889
394	3313	880
395	3322	872
396	3331	864
397	3339	855
398	3347	847
399	3354	838
400	3361	830
401	3370	821
402	3377	813
403	3384	804
404	3393	795
405	3401	787
406	3408	778
407	3415	770
408	3422	761
409	3431	753
410	3438	744
411	3445	736
412	3454	727
413	3462	719
414	3468	710
415	3474	701
416	3480	692
417	3488	684
418	3498	676
